id,relic_id,ranking,type|itemID|amount1,type|itemID|amount2,type|itemID|amount3,type|itemID|amount4,type|itemID|amount5
1,1,1|1,14|800019|1,14|21000347|10,14|350047|10,8|8|50000,0
2,1,2|2,14|21000347|8,14|350047|8,8|8|40000,0,0
3,1,3|3,14|21000347|7,14|350047|7,8|8|30000,0,0
4,1,4|10,14|21000347|6,14|350047|6,8|8|20000,0,0
5,1,11|0,14|21000347|5,14|350047|5,8|8|10000,0,0
6,2,1|1,14|800020|1,14|21000350|10,14|350050|10,8|8|50000,0
7,2,2|2,14|21000350|8,14|350050|8,8|8|40000,0,0
8,2,3|3,14|21000350|7,14|350050|7,8|8|30000,0,0
9,2,4|10,14|21000350|6,14|350050|6,8|8|20000,0,0
10,2,11|0,14|21000350|5,14|350050|5,8|8|10000,0,0
11,3,1|1,14|800021|1,14|21000353|10,14|350053|10,8|8|50000,0
12,3,2|2,14|21000353|8,14|350053|8,8|5|40000,0,0
13,3,3|3,14|21000353|7,14|350053|7,8|5|30000,0,0
14,3,4|10,14|21000353|6,14|350053|6,8|5|20000,0,0
15,3,11|0,14|21000353|5,14|350053|5,8|5|10000,0,0
16,4,1|1,14|800026|1,14|21000356|10,14|350056|10,8|8|50000,0
17,4,2|2,14|21000356|8,14|350056|8,8|5|40000,0,0
18,4,3|3,14|21000356|7,14|350056|7,8|5|30000,0,0
19,4,4|10,14|21000356|6,14|350056|6,8|5|20000,0,0
20,4,11|0,14|21000356|5,14|350056|5,8|5|10000,0,0
21,5,1|1,14|800027|1,14|21000359|10,14|350059|10,8|8|50000,0
22,5,2|2,14|21000359|8,14|350059|8,8|5|40000,0,0
23,5,3|3,14|21000359|7,14|350059|7,8|5|30000,0,0
24,5,4|10,14|21000359|6,14|350059|6,8|5|20000,0,0
25,5,11|0,14|21000359|5,14|350059|5,8|5|10000,0,0
26,6,1|1,14|800028|1,14|21000331|10,14|350031|10,8|8|50000,0
27,6,2|2,14|21000331|8,14|350031|8,8|5|40000,0,0
28,6,3|3,14|21000331|7,14|350031|7,8|5|30000,0,0
29,6,4|10,14|21000331|6,14|350031|6,8|5|20000,0,0
30,6,11|0,14|21000331|5,14|350031|5,8|5|10000,0,0
31,7,1|1,14|800029|1,14|21000349|10,14|350049|10,8|8|50000,0
32,7,2|2,14|21000349|8,14|350049|8,8|5|40000,0,0
33,7,3|3,14|21000349|7,14|350049|7,8|5|30000,0,0
34,7,4|10,14|21000349|6,14|350049|6,8|5|20000,0,0
35,7,11|0,14|21000349|5,14|350049|5,8|5|10000,0,0
36,8,1|1,14|800030|1,14|21000352|10,14|350052|10,8|8|50000,0
37,8,2|2,14|21000352|8,14|350052|8,8|5|40000,0,0
38,8,3|3,14|21000352|7,14|350052|7,8|5|30000,0,0
39,8,4|10,14|21000352|6,14|350052|6,8|5|20000,0,0
40,8,11|0,14|21000352|5,14|350052|5,8|5|10000,0,0
41,9,1|1,14|800031|1,14|21000355|10,14|350055|10,8|8|50000,0
42,9,2|2,14|21000355|8,14|350055|8,8|5|40000,0,0
43,9,3|3,14|21000355|7,14|350055|7,8|5|30000,0,0
44,9,4|10,14|21000355|6,14|350055|6,8|5|20000,0,0
45,9,11|0,14|21000355|5,14|350055|5,8|5|10000,0,0
46,10,1|1,14|800032|1,14|21000345|10,14|350045|10,8|8|50000,0
47,10,2|2,14|21000345|8,14|350045|8,8|8|40000,0,0
48,10,3|3,14|21000345|7,14|350045|7,8|8|30000,0,0
49,10,4|10,14|21000345|6,14|350045|6,8|8|20000,0,0
50,10,11|0,14|21000345|5,14|350045|5,8|8|10000,0,0
1101,11,1|1,14|800022|1,14|21000371|20,14|350071|20,0,0
