id,type,droptype,0,dropProb,itemtype,itemid,price,cd,timesLimit,producttype,productID,amount,openlevel
10101,1,1,彩虹百货,1100,2,0,60,0,1,14,21000347,1,0
10102,1,1,彩虹百货,720,2,0,60,0,1,14,21000331,1,0
10103,1,1,彩虹百货,200,2,0,60,0,1,14,21000386,1,0
10104,1,1,彩虹百货,200,2,0,60,0,1,14,21000376,1,0
10105,1,1,彩虹百货,200,2,0,60,0,1,14,21000362,1,0
10106,1,1,彩虹百货,50,2,0,60,0,1,14,21000381,1,0
10107,1,1,彩虹百货,25,2,0,60,0,1,14,21000361,1,0
10108,1,1,彩虹百货,5,2,0,60,0,1,14,21000371,1,0
10109,1,1,彩虹百货,1100,2,0,60,0,1,14,21000350,1,0
10110,1,1,彩虹百货,720,2,0,60,0,1,14,21000349,1,0
10111,1,1,彩虹百货,200,2,0,60,0,1,14,21000387,1,0
10112,1,1,彩虹百货,200,2,0,60,0,1,14,21000377,1,0
10113,1,1,彩虹百货,25,2,0,60,0,1,14,21000364,1,0
10114,1,1,彩虹百货,50,2,0,60,0,1,14,21000382,1,0
10115,1,1,彩虹百货,200,2,0,60,0,1,14,21000363,1,0
10116,1,1,彩虹百货,5,2,0,60,0,1,14,21000372,1,0
10117,1,1,彩虹百货,1100,2,0,60,0,1,14,21000353,1,0
10118,1,1,彩虹百货,720,2,0,60,0,1,14,21000352,1,0
10119,1,1,彩虹百货,200,2,0,60,0,1,14,21000378,1,0
10120,1,1,彩虹百货,200,2,0,60,0,1,14,21000388,1,0
10121,1,1,彩虹百货,25,2,0,60,0,1,14,21000366,1,0
10122,1,1,彩虹百货,200,2,0,60,0,1,14,21000365,1,0
10123,1,1,彩虹百货,50,2,0,60,0,1,14,21000383,1,0
10124,1,1,彩虹百货,5,2,0,60,0,1,14,21000373,1,0
10125,1,1,彩虹百货,1000,2,0,60,0,1,14,21000356,1,0
10126,1,1,彩虹百货,50,2,0,60,0,1,14,21000357,1,0
10127,1,1,彩虹百货,150,2,0,60,0,1,14,21000355,1,0
10128,1,1,彩虹百货,55,2,0,60,0,1,14,21000379,1,0
10129,1,1,彩虹百货,200,2,0,60,0,1,14,21000384,1,0
10130,1,1,彩虹百货,20,2,0,60,0,1,14,21000367,1,0
10131,1,1,彩虹百货,10,2,0,60,0,1,14,21000389,1,0
10132,1,1,彩虹百货,5,2,0,60,0,1,14,21000374,1,0
10133,1,1,彩虹百货,425,2,0,60,0,1,14,21000359,1,0
10134,1,1,彩虹百货,200,2,0,60,0,1,14,21000345,1,0
10135,1,1,彩虹百货,90,2,0,60,0,1,14,21000370,1,0
10136,1,1,彩虹百货,200,2,0,60,0,1,14,21000369,1,0
10137,1,1,彩虹百货,60,2,0,60,0,1,14,21000385,1,0
