id,golden,soul
1,10,2000
2,10,2500
3,10,3000
4,20,4000
5,20,4200
6,20,4400
7,40,8000
8,40,8400
9,40,8800
10,40,9200.000000000002
11,40,9600.000000000002
12,100,20000
13,100,21000
14,100,22000.000000000004
15,100,23000.000000000004
16,100,24000.000000000004
17,200,40000
18,200,42000
19,200,44000.00000000001
20,200,46000.00000000001
21,200,48000.00000000001
22,400,80000
23,400,81999.99999999999
24,400,83999.99999999999
25,400,85999.99999999997
26,400,87999.99999999997
27,400,89999.99999999997
28,400,91999.99999999996
29,400,93999.99999999996
30,400,95999.99999999994
31,400,97999.99999999994
32,400,99999.99999999993
33,400,101999.99999999991
34,400,103999.99999999991
35,400,105999.99999999991
36,400,107999.99999999991
37,400,109999.99999999988
38,400,111999.99999999988
39,400,113999.99999999988
40,400,115999.99999999988
