id,refid,name,reftype,u_star,u_level,e_step,e_level
35601,1000356,皮丘,3,1,5,0,0
35001,1000350,杰尼龟,3,1,5,0,0
36703,1004367,超梦,3,3,1,0,0
37106,1000371,固多拉,3,6,1,0,0
36206,1000362,席多蓝,3,6,1,0,0
36106,1000361,不死鸟,3,6,1,0,0
34706,1000347,小火龙,3,6,1,0,0
33106,1000331,小马驹,3,6,1,0,0
37206,1000372,欧盖卡,3,6,1,0,0
36406,1000364,霏米纳,3,6,1,0,0
36306,1000363,洛亚鸟,3,6,1,0,0
34906,1000349,鲤鱼王,3,6,1,0,0
35006,1000350,杰尼龟,3,6,1,0,0
37306,1000373,烈空坐,3,6,1,0,0
36606,1000366,雪拉比,3,6,1,0,0
36506,1000365,拉鲁拉丝,3,6,1,0,0
35206,1000352,草苗龟,3,6,1,0,0
35306,1000353,妙蛙种子,3,6,1,0,0
37406,1000374,阿尔宙斯,3,6,1,0,0
36706,1000367,超梦,3,6,1,0,0
35506,1000355,波克比,3,6,1,0,0
35706,1000357,凯西,3,6,1,0,0
35606,1000356,皮丘,3,6,1,0,0
37506,1000375,生命鹿,3,6,1,0,0
37006,1000370,利欧路,3,6,1,0,0
36906,1000369,达克莱伊,3,6,1,0,0
35906,1000359,鬼斯,3,6,1,0,0
34506,1000345,怨影娃娃,3,6,1,0,0
37111,1000371,固多拉,3,11,1,0,0
36211,1000362,席多蓝,3,11,1,0,0
36111,1000361,不死鸟,3,11,1,0,0
34711,1000347,小火龙,3,11,1,0,0
33111,1000331,小马驹,3,11,1,0,0
37211,1000372,欧盖卡,3,11,1,0,0
36411,1000364,霏米纳,3,11,1,0,0
36311,1000363,洛亚鸟,3,11,1,0,0
34911,1000349,鲤鱼王,3,11,1,0,0
35011,1000350,杰尼龟,3,11,1,0,0
37311,1000373,烈空坐,3,11,1,0,0
36611,1000366,雪拉比,3,11,1,0,0
36511,1000365,拉鲁拉丝,3,11,1,0,0
35211,1000352,草苗龟,3,11,1,0,0
35311,1000353,妙蛙种子,3,11,1,0,0
37411,1000374,阿尔宙斯,3,11,1,0,0
36711,1000367,超梦,3,11,1,0,0
35511,1000355,波克比,3,11,1,0,0
35711,1000357,凯西,3,11,1,0,0
35611,1000356,皮丘,3,11,1,0,0
37511,1000375,生命鹿,3,11,1,0,0
37011,1000370,利欧路,3,11,1,0,0
36911,1000369,达克莱伊,3,11,1,0,0
35911,1000359,鬼斯,3,11,1,0,0
34511,1000345,怨影娃娃,3,11,1,0,0
