id,pre-stuffid,stuffid,count,coin,soul,order
710001,0,710002,10,100,0,1
710002,710001,710003,10,500,0,1
710003,710002,710004,10,2000,0,1
710004,710003,710005,10,5000,0,1
710005,710004,710006,10,10000,0,1
710006,710005,0,0,0,0,1
720001,0,720002,10,100,0,2
720002,720001,720003,10,500,0,2
720003,720002,720004,10,2000,0,2
720004,720003,720005,10,5000,0,2
720005,720004,720006,10,10000,0,2
720006,720005,0,0,0,0,2
730001,0,730002,10,100,0,3
730002,730001,730003,10,500,0,3
730003,730002,730004,10,2000,0,3
730004,730003,730005,10,5000,0,3
730005,730004,730006,10,10000,0,3
730006,730005,0,0,0,0,3
