suitid,equip1,equip2,equip3,equip4,equip5,equip6,ATK1,HP1,DEF1,EVA1,CRI1,ATK2,HP2,DEF2,EVA2,CRI2,ATK3,HP3,DEF3,EVA3,CRI3,ATK4,HP4,DEF4,EVA4,CRI4,ATK5,HP5,DEF5,EVA5,CRI5,ATK6,HP6,DEF6,EVA6,CRI6
1,10030,20017,30011,40011,0,0,0,0,0,0,0,100,0,0,0,0,150,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10024,20013,30006,40007,0,0,0,0,0,0,0,0,300,0,0,0,150,0,0,0,0,0,150,65,0,0,0,0,0,0,0,0,0,0,0,0
3,10043,20031,30021,40021,0,0,0,0,0,0,0,0,500,0,0,0,0,600,0,0,0,0,400,0,6,0,0,0,0,0,0,0,0,0,0,0
4,10046,20032,30016,40016,50006,60006,0,0,0,0,0,120,0,0,0,0,0,400,0,0,0,120,400,0,0,0,120,400,0,0,0,120,400,0,0,0
5,10051,20039,30023,40023,50015,60016,0,0,0,0,0,0,800,100,0,0,0,1000,120,0,0,0,1200,150,0,0,0,1500,180,10,0,0,1800,200,0,0
6,10021,20007,30003,40004,0,0,0,0,0,0,0,40,100,0,0,0,40,100,0,0,0,40,100,0,0,0,0,0,0,0,0,0,0,0,0,0
7,10041,20034,30015,40020,50013,60014,0,0,0,0,0,0,300,0,0,0,0,300,0,0,0,0,400,0,0,0,0,0,150,0,0,0,600,0,0,0
8,10027,20012,30009,40009,0,0,0,0,0,0,0,0,200,50,0,0,0,400,50,0,0,0,720,50,0,0,0,0,0,0,0,0,0,0,0,0
9,10050,20040,30024,40026,50016,60017,0,0,0,0,0,250,0,0,0,0,0,800,0,0,0,0,800,100,0,0,250,0,100,0,0,250,800,100,0,0
10,10036,20035,30019,40022,50008,60011,0,0,0,0,0,120,0,0,0,0,150,0,0,0,0,150,0,0,0,3,200,0,0,0,4,250,0,0,0,5
11,10015,20008,40001,30004,0,0,0,0,0,0,0,60,0,20,0,0,60,0,20,0,0,60,0,20,0,0,0,0,0,0,0,0,0,0,0,0
12,10047,20027,30005,40018,0,0,0,0,0,0,0,360,0,0,0,0,0,500,0,0,5,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0
13,10038,20020,30012,40012,0,0,0,0,0,0,0,0,500,0,0,0,120,500,0,0,0,150,500,0,0,0,0,0,0,0,0,0,0,0,0,0
14,10022,20019,30008,40006,0,0,0,0,0,0,0,0,320,40,0,0,0,400,50,0,0,0,500,60,0,0,0,0,0,0,0,0,0,0,0,0
15,10033,20023,30014,40010,50002,60003,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,5,100,0,0,2,0,100,0,0,0,0
16,10053,20041,30025,40015,50010,60013,0,0,0,0,0,0,500,0,0,0,0,500,0,0,0,0,500,0,2,0,0,600,0,2,0,0,800,0,4,0
17,10029,20010,30010,40008,50003,60001,0,0,0,0,0,100,0,0,0,0,120,0,0,0,0,0,0,0,0,4,150,0,0,0,0,0,0,0,0,6
18,10040,20033,30018,40005,50011,60010,0,0,0,0,0,0,400,0,0,0,0,500,0,0,0,0,600,0,0,0,0,700,0,2,0,0,800,0,4,0
19,10032,20022,30007,40014,50004,60004,0,0,0,0,0,120,0,0,0,0,0,500,0,0,0,120,500,0,0,0,120,500,0,0,0,250,0,0,0,0
20,10039,20030,30022,40019,50014,60008,0,0,0,0,0,120,0,0,0,0,150,0,0,0,0,180,0,0,0,0,200,0,0,0,0,250,0,0,0,0
21,10042,20029,30020,40013,50009,60007,0,0,0,0,0,0,300,30,0,0,0,400,40,0,0,0,500,50,0,0,0,500,50,0,0,0,800,0,0,0
22,10037,20028,30017,40017,50012,60012,0,0,0,0,0,0,500,0,0,0,0,0,80,0,0,0,800,0,0,0,0,0,100,0,0,0,0,150,3,0
23,10017,20001,30001,40003,0,0,0,0,0,0,0,0,150,0,0,0,0,220,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0
24,10044,20026,50007,60009,0,0,0,0,0,0,0,150,0,0,0,0,180,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,10052,20036,30026,40024,50017,60015,0,0,0,0,0,200,0,0,0,0,300,0,0,0,0,300,0,0,0,6,400,0,0,0,8,500,0,0,0,10
26,10049,20037,30027,40025,0,0,0,0,0,0,0,250,0,0,0,0,400,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,10048,20038,30028,40027,0,0,0,0,0,0,0,0,0,300,0,0,0,0,400,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0
