id,highest_ranking,reward
1,1,300
2,2,290
3,3,280
4,4,270
5,5,260
6,6,250
7,7,240
8,8,230
9,9,220
10,10,210
11,11,200
12,12,190
13,13,180
14,14,170
15,15,160
16,16,150
17,17,140
18,18,130
19,19,120
20,20,115
21,25,110
22,30,105
23,35,100
24,40,98
25,45,96
26,50,94
27,60,92
28,70,90
29,80,88
30,90,86
31,100,84
32,120,82
33,140,80
34,160,78
35,180,76
36,200,74
37,250,72
38,300,70
39,350,68
40,400,66
41,450,64
42,500,62
43,700,60
44,900,58
45,1100,56
46,1500,54
47,2000,52
48,2500,50
49,3000,45
50,3500,40
51,4000,35
52,4500,30
53,5000,25
54,6000,20
55,7000,18
56,8000,15
57,9000,13
58,10000,12
59,12000,11
60,14000,9
61,17000,7
62,20000,5
63,30000,4
64,40000,3
65,50000,2
66,60000,1
67,70000,1
68,80000,1
69,90000,1
70,100000,1
