id,sp,relic,goldenstore,silverstore,event
1,6,0,0,0,0
2,12,0,0,0,0
3,36,0,0,0,0
4,60,0,0,0,0
5,72,0,0,0,0
6,84,0,0,0,0
7,96,0,0,0,0
8,108,0,0,0,0
9,120,0,0,0,0
10,132,0,0,0,0
11,144,0,0,0,0
12,160,0,0,0,0
13,180,0,0,0,0
14,200,0,0,0,0
15,220,0,0,0,0
16,240,0,0,0,0
17,300,0,0,0,0
18,360,0,0,0,0
19,420,0,0,0,0
20,480,0,0,0,0
21,540,0,0,0,0
22,600,0,0,0,0
23,660,0,0,0,0
24,720,0,0,0,0
25,780,0,0,0,0
26,840,0,0,0,0
27,900,0,0,0,0
28,1000,0,0,0,0
29,1100,0,0,0,0
30,1200,0,0,0,0
31,1300,0,0,0,0
32,1400,0.1,0,0,0
33,1500,0.1,0,0,0
34,1800,0.2,0,0,0
35,2000,0.2,0,0,0
36,2500,0.5,0,0,0
37,3000,1,0,0,0
38,3500,1,0,0,0
39,4000,1,0,0,0
40,4500,1,0,0,0
41,5000,1,0,0,0
