id,lv,num,exp
0,0,0,0
1,1,25,400
2,2,25,500
3,3,25,600
4,4,25,700
5,5,25,800
6,6,25,900
7,7,25,1000
8,8,25,1100
9,9,25,1200
10,10,30,1400
11,11,30,1600
12,12,30,1800
13,13,30,2000
14,14,30,2500
15,15,30,3000
16,16,30,3500
17,17,30,4000
18,18,30,4500
19,19,30,5000
20,20,35,6000
21,21,35,7000
22,22,35,8000
23,23,35,9000
24,24,35,10000
25,25,35,11000
26,26,35,12000
27,27,35,13000
28,28,35,14000
29,29,35,15000
30,30,40,16000
31,31,40,17000
32,32,40,18000
33,33,40,20000
34,34,40,22000
35,35,40,24000
36,36,40,26000
37,37,40,28000
38,38,40,30000
39,39,40,32000
40,40,45,34000
41,41,45,36000
42,42,45,38000
43,43,45,40000
44,44,45,42000
45,45,45,45000
46,46,45,48000
47,47,45,51000
48,48,45,54000
49,49,45,57000
50,50,50,60000
