unionsLevel,type1,itemID1,amount1,type2,itemID2,amount2,type3,itemID3,amount3,type4,itemID4,amount4
1,11,11,31,13,13,11,15,15,41,0,0,0
2,11,11,32,13,13,12,15,15,42,0,0,0
3,11,11,33,13,13,13,15,15,43,0,0,0
4,11,11,34,13,13,14,15,15,44,0,0,0
5,11,11,35,13,13,15,15,15,45,0,0,0
6,11,11,36,13,13,16,15,15,46,0,0,0
7,11,11,37,13,13,17,15,15,47,0,0,0
8,11,11,38,13,13,18,15,15,48,0,0,0
9,11,11,39,13,13,19,15,15,49,0,0,0
10,11,11,40,13,13,20,15,15,50,0,0,0
11,11,11,41,13,13,21,15,15,51,0,0,0
12,11,11,42,13,13,22,15,15,52,0,0,0
13,11,11,43,13,13,23,15,15,53,0,0,0
14,11,11,44,13,13,24,15,15,54,0,0,0
15,11,11,45,13,13,25,15,15,55,0,0,0
16,11,11,46,13,13,26,15,15,56,0,0,0
17,11,11,47,13,13,27,15,15,57,0,0,0
18,11,11,48,13,13,28,15,15,58,0,0,0
19,11,11,49,13,13,29,15,15,59,0,0,0
20,11,11,50,13,13,30,15,15,60,0,0,0
21,11,11,51,13,13,31,15,15,61,0,0,0
22,11,11,52,13,13,32,15,15,62,0,0,0
23,11,11,53,13,13,33,15,15,63,0,0,0
24,11,11,54,13,13,34,15,15,64,0,0,0
25,11,11,55,13,13,35,15,15,65,0,0,0
26,11,11,56,13,13,36,15,15,66,0,0,0
27,11,11,57,13,13,37,15,15,67,0,0,0
28,11,11,58,13,13,38,15,15,68,0,0,0
29,11,11,59,13,13,39,15,15,69,0,0,0
30,11,11,60,13,13,40,15,15,70,0,0,0
31,11,11,61,13,13,41,15,15,71,0,0,0
32,11,11,62,13,13,42,15,15,72,0,0,0
33,11,11,63,13,13,43,15,15,73,0,0,0
34,11,11,64,13,13,44,15,15,74,0,0,0
35,11,11,65,13,13,45,15,15,75,0,0,0
36,11,11,66,13,13,46,15,15,76,0,0,0
37,11,11,67,13,13,47,15,15,77,0,0,0
38,11,11,68,13,13,48,15,15,78,0,0,0
39,11,11,69,13,13,49,15,15,79,0,0,0
40,11,11,70,13,13,50,15,15,80,0,0,0
41,11,11,71,13,13,51,15,15,81,0,0,0
42,11,11,72,13,13,52,15,15,82,0,0,0
43,11,11,73,13,13,53,15,15,83,0,0,0
44,11,11,74,13,13,54,15,15,84,0,0,0
45,11,11,75,13,13,55,15,15,85,0,0,0
46,11,11,76,13,13,56,15,15,86,0,0,0
47,11,11,77,13,13,57,15,15,87,0,0,0
48,11,11,78,13,13,58,15,15,88,0,0,0
49,11,11,79,13,13,59,15,15,89,0,0,0
50,11,11,80,13,13,60,15,15,90,0,0,0
