same,equip1,equip2,equip3,equip4,equip5,equip6
1,10036,20035,40022,50008,0,0
2,10037,20028,30017,0,0,0
3,10038,20020,30012,40012,0,0
4,10026,20017,30011,0,0,0
5,10025,20032,30016,40016,0,0
6,10021,40004,0,0,0,0
7,10021,40004,0,0,0,0
8,10021,40004,0,0,0,0
9,10035,20015,0,0,0,0
10,10028,20021,0,0,0,0
11,10015,20008,0,0,0,0
12,10015,20008,0,0,0,0
13,10015,20008,0,0,0,0
14,20017,40011,50009,0,0,0
15,10028,20021,30013,0,0,0
16,10030,20017,30011,40011,0,0
17,10041,30008,40006,0,0,0
18,10040,20033,30018,40005,0,0
19,10027,20012,30009,40009,50013,0
20,10028,20020,30012,40012,0,0
21,10036,20025,0,0,0,0
22,10027,20012,40009,0,0,0
23,10029,20010,30010,0,0,0
24,10047,20027,30005,40018,50006,0
25,10053,20041,30025,40015,50010,0
26,10044,20026,0,0,0,0
27,10031,30009,40009,0,0,0
28,10033,20023,30014,40010,0,0
29,10029,30010,40008,0,0,0
30,10029,20010,40008,0,0,0
31,10017,30001,0,0,0,0
32,10022,20019,30008,0,0,0
33,20023,30014,40010,0,0,0
34,20023,30014,40010,0,0,0
35,10045,20016,0,0,0,0
36,10036,20035,30019,40022,0,0
37,10040,20033,50011,60010,0,0
38,20033,30018,40005,60010,0,0
39,10046,20032,30016,40016,0,0
40,10039,20030,30022,40019,0,0
41,10043,20031,30021,40021,0,0
42,10032,20022,30007,40014,0,0
43,10043,20031,30021,40021,0,0
44,10032,20022,30007,40014,0,0
45,10042,20029,30020,40013,0,0
46,20001,40003,0,0,0,0
47,20001,40003,0,0,0,0
48,20001,40003,0,0,0,0
49,10022,20019,40006,0,0,0
50,10022,20019,40006,0,0,0
51,10041,20034,30015,40020,60004,0
52,10053,20041,30025,40015,60013,0
53,10049,20035,30019,40025,60011,0
54,10048,20038,30019,40022,60011,0
55,10047,20027,30024,40018,50016,0
56,10051,20022,30007,40014,50015,0
57,10037,20036,30017,40017,50017,0
58,10050,20040,30022,40019,50014,0
59,10034,20016,0,0,0,0
60,10024,20013,30006,40007,0,0
61,10024,20013,30006,40007,0,0
62,10041,20039,30015,40020,60016,0
63,10041,20034,30015,40020,60014,0
64,10045,20025,30013,50009,0,0
65,10024,20013,30006,40007,0,0
66,10031,20017,30011,0,0,0
67,10039,20030,30022,40019,0,0
68,20007,30003,0,0,0,0
69,10017,30001,0,0,0,0
70,30004,40001,0,0,0,0
71,10052,20033,30018,40024,50011,0
72,10043,20031,30021,40021,0,0
73,20007,30003,0,0,0,0
74,10021,20007,0,0,0,0
75,30004,40001,0,0,0,0
76,20028,30026,40017,50012,60015,0
77,10046,20032,30016,40016,0,0
78,10037,30017,40017,50013,0,0
79,20007,30003,0,0,0,0
80,10017,30001,0,0,0,0
81,30004,40001,0,0,0,0
103,10026,20016,30009,0,0,0
104,10035,20024,30013,0,0,0
105,20032,50006,60006,0,0,0
106,10042,20029,30020,40013,0,0
107,10034,20021,40008,0,0,0
108,20010,30010,40008,0,0,0
109,10038,20020,30012,40012,0,0
110,10043,20031,40021,50012,60012,0
111,10053,20041,30025,40015,0,0
112,10037,30023,40023,50012,60012,0
113,10040,30018,40005,60010,0,0
